station,pct_missing_after_fill_pressure,pct_missing_after_fill_precipitation,pct_missing_after_fill_luminous_intensity
recinto-esparza,3.094560908382109,0.0,3.094560908382109
recinto-santa-cruz,33.005782316789166,0.0,33.005782316789166
sede-atlantico_turrialba,2.1072152762917904,0.0,2.1072152762917904
sede-central_finca-1,4.232017641666047,0.0,4.232017641666047
sede-central_finca-2,26.896444651451638,0.0,26.896444651451638
sede-central_finca-3,36.41971101417666,9.773718647764449,36.41971101417666
sede-central_losic-norte-1,3.6479999999999997,0.0,3.6479999999999997
sede-central_losic-norte-2,50.994063508506315,17.06840909996414,50.994063508506315
sede-central_sabanilla,1.1509687320161135,0.0,1.1509687320161135
sede-guanacaste_liberia,28.291984732824428,4.866412213740458,28.291984732824428
sede-sur_golfito,11.335650672482734,0.0,11.335650672482734
